PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=467 ttl=63 time=2540 ms
64 bytes from 10.0.2.22: icmp_seq=468 ttl=63 time=2439 ms
64 bytes from 10.0.2.22: icmp_seq=469 ttl=63 time=2335 ms
64 bytes from 10.0.2.22: icmp_seq=470 ttl=63 time=2232 ms
64 bytes from 10.0.2.22: icmp_seq=471 ttl=63 time=2130 ms
64 bytes from 10.0.2.22: icmp_seq=472 ttl=63 time=2027 ms
64 bytes from 10.0.2.22: icmp_seq=473 ttl=63 time=1924 ms
64 bytes from 10.0.2.22: icmp_seq=474 ttl=63 time=1820 ms
64 bytes from 10.0.2.22: icmp_seq=475 ttl=63 time=1718 ms
64 bytes from 10.0.2.22: icmp_seq=476 ttl=63 time=1614 ms
64 bytes from 10.0.2.22: icmp_seq=477 ttl=63 time=1511 ms
64 bytes from 10.0.2.22: icmp_seq=478 ttl=63 time=1409 ms
64 bytes from 10.0.2.22: icmp_seq=479 ttl=63 time=1306 ms
64 bytes from 10.0.2.22: icmp_seq=480 ttl=63 time=1203 ms
64 bytes from 10.0.2.22: icmp_seq=481 ttl=63 time=1100 ms
64 bytes from 10.0.2.22: icmp_seq=482 ttl=63 time=997 ms
64 bytes from 10.0.2.22: icmp_seq=483 ttl=63 time=895 ms
64 bytes from 10.0.2.22: icmp_seq=484 ttl=63 time=791 ms
64 bytes from 10.0.2.22: icmp_seq=485 ttl=63 time=688 ms
64 bytes from 10.0.2.22: icmp_seq=486 ttl=63 time=585 ms
64 bytes from 10.0.2.22: icmp_seq=487 ttl=63 time=482 ms
64 bytes from 10.0.2.22: icmp_seq=488 ttl=63 time=379 ms
64 bytes from 10.0.2.22: icmp_seq=489 ttl=63 time=277 ms
64 bytes from 10.0.2.22: icmp_seq=490 ttl=63 time=186 ms
64 bytes from 10.0.2.22: icmp_seq=491 ttl=63 time=186 ms
64 bytes from 10.0.2.22: icmp_seq=492 ttl=63 time=192 ms
64 bytes from 10.0.2.22: icmp_seq=493 ttl=63 time=200 ms
64 bytes from 10.0.2.22: icmp_seq=494 ttl=63 time=199 ms
64 bytes from 10.0.2.22: icmp_seq=495 ttl=63 time=202 ms
64 bytes from 10.0.2.22: icmp_seq=496 ttl=63 time=193 ms
64 bytes from 10.0.2.22: icmp_seq=497 ttl=63 time=189 ms
64 bytes from 10.0.2.22: icmp_seq=498 ttl=63 time=195 ms
64 bytes from 10.0.2.22: icmp_seq=499 ttl=63 time=198 ms
64 bytes from 10.0.2.22: icmp_seq=500 ttl=63 time=195 ms
64 bytes from 10.0.2.22: icmp_seq=501 ttl=63 time=201 ms
